CustomerID,Recency,Frequency,Monetory,R,F,M,RFMGroup,RFMsum
2.0,4,182,553704.0,1,1,1,111,3
3.0,77,27,257404.0,4,3,1,431,8
4.0,20,72,176613.0,3,2,2,322,7
5.0,18,16,41976.0,2,4,3,243,9
6.0,9,84,151822.0,1,2,2,122,5
7.0,208,4,9410.0,4,4,4,444,12
8.0,234,58,135550.0,4,2,2,422,8
9.0,15,13,65832.0,2,4,3,243,9
10.0,16,58,331601.0,2,2,1,221,5
11.0,9,131,771439.0,1,1,1,111,3
12.0,2,17,105674.0,1,4,2,142,7
13.0,14,254,705406.0,2,1,1,211,4
14.0,53,126,281630.0,3,1,1,311,5
15.0,170,9,21630.0,4,4,4,444,12
16.0,4,264,578591.0,1,1,1,111,3
17.0,16,23,78378.0,2,3,3,233,8
18.0,8,81,205212.0,1,2,2,122,5
19.0,292,21,41055.0,4,3,3,433,10
20.0,6,10,23537.0,1,4,4,144,9
21.0,17,166,469518.0,2,1,1,211,4
22.0,10,62,182448.0,1,2,2,122,5
23.0,15,49,163883.0,2,2,2,222,6
24.0,48,13,42424.0,3,4,3,343,10
25.0,26,32,76012.0,3,3,3,333,9
26.0,4,16,47361.0,1,4,3,143,8
27.0,171,76,200342.0,4,2,2,422,8
28.0,12,219,518776.0,2,1,1,211,4
29.0,74,39,93618.0,4,3,2,432,9
30.0,14,101,295952.0,2,2,1,221,5
31.0,34,86,178765.0,3,2,2,322,7
32.0,14,95,235678.0,2,2,1,221,5
33.0,9,28,45460.0,1,3,3,133,7
34.0,141,10,57670.0,4,4,3,443,11
35.0,18,100,356353.0,2,2,1,221,5
36.0,81,31,68598.0,4,3,3,433,10
37.0,22,100,60518.0,3,2,3,323,8
38.0,16,64,201327.0,2,2,2,222,6
39.0,15,25,148768.0,2,3,2,232,7
40.0,9,147,384183.0,1,1,1,111,3
41.0,9,124,287355.0,1,1,1,111,3
42.0,50,84,215492.0,3,2,1,321,6
43.0,15,55,158398.0,2,2,2,222,6
44.0,48,4,7278.0,3,4,4,344,11
45.0,324,10,25584.0,4,4,4,444,12
46.0,52,4,42252.0,3,4,3,343,10
47.0,149,53,178467.0,4,2,2,422,8
48.0,14,108,415792.0,2,1,1,211,4
49.0,13,72,222570.0,2,2,1,221,5
50.0,9,108,329075.0,1,1,1,111,3
51.0,14,114,1383334.0,2,1,1,211,4
52.0,18,27,59636.0,2,3,3,233,8
53.0,81,58,157322.0,4,2,2,422,8
54.0,10,37,80491.0,1,3,3,133,7
55.0,15,15,57781.0,2,4,3,243,9
56.0,10,757,14357682.0,1,1,1,111,3
57.0,4,189,384550.0,1,1,1,111,3
58.0,113,34,86360.0,4,3,2,432,9
59.0,10,29,80913.0,1,3,3,133,7
60.0,22,41,87913.0,3,3,2,332,8
61.0,11,38,91062.0,2,3,2,232,7
62.0,3,118,227879.0,1,1,1,111,3
63.0,74,30,200188.0,4,3,2,432,9
64.0,81,36,97807.0,4,3,2,432,9
65.0,136,29,62672.0,4,3,3,433,10
66.0,10,31,95512.0,1,3,2,132,6
67.0,12,292,800248.0,2,1,1,211,4
68.0,69,94,407444.0,3,2,1,321,6
69.0,50,10,27584.0,3,4,4,344,11
70.0,9,238,784562.0,1,1,1,111,3
71.0,50,107,526849.0,3,1,1,311,5
72.0,1,420,1870543.0,1,1,1,111,3
73.0,85,54,94388.0,4,2,2,422,8
74.0,81,36,896714.0,4,3,1,431,8
75.0,102,15,52453.0,4,4,3,443,11
76.0,3,185,560583.0,1,1,1,111,3
77.0,20,96,304853.0,3,2,1,321,6
78.0,367,10,21144.0,4,4,4,444,12
79.0,4,11,21598.0,1,4,4,144,9
80.0,12,173,465037.0,2,1,1,211,4
81.0,25,3,9948.0,3,4,4,344,11
82.0,58,57,117966.0,3,2,2,322,7
83.0,16,25,53855.0,2,3,3,233,8
84.0,50,21,48432.0,3,3,3,333,9
85.0,11,187,435921.0,2,1,1,211,4
86.0,74,8,26814.0,4,4,4,444,12
87.0,10,353,1230748.0,1,1,1,111,3
88.0,20,20,41312.0,3,3,3,333,9
89.0,142,43,95624.0,4,2,2,422,8
90.0,54,17,372796.0,3,4,1,341,8
91.0,13,85,335450.0,2,2,1,221,5
92.0,50,126,327927.0,3,1,1,311,5
93.0,12,63,243774.0,2,2,1,221,5
94.0,78,36,108842.0,4,3,2,432,9
95.0,13,34,76450.0,2,3,3,233,8
96.0,3,70,117356.0,1,2,2,122,5
97.0,54,83,160470.0,3,2,2,322,7
98.0,25,22,99624.0,3,3,2,332,8
99.0,20,49,87593.0,3,2,2,322,7
100.0,14,38,85253.0,2,3,2,232,7
101.0,3,506,1966954.0,1,1,1,111,3
102.0,9,384,779735.0,1,1,1,111,3
103.0,44,168,384317.0,3,1,1,311,5
104.0,10,441,887812.0,1,1,1,111,3
105.0,54,35,95322.0,3,3,2,332,8
106.0,2,255,694331.0,1,1,1,111,3
107.0,10,308,1486990.0,1,1,1,111,3
108.0,4,35,68029.0,1,3,3,133,7
109.0,5,34,57316.0,1,3,3,133,7
110.0,9,150,375459.0,1,1,1,111,3
111.0,10,210,672616.0,1,1,1,111,3
112.0,14,72,244819.0,2,2,1,221,5
113.0,9,346,503434.0,1,1,1,111,3
114.0,69,54,155349.0,3,2,2,322,7
115.0,49,14,35243.0,3,4,4,344,11
116.0,6,235,631870.0,1,1,1,111,3
117.0,39,25,57912.0,3,3,3,333,9
118.0,10,18,32436.0,1,3,4,134,8
119.0,75,22,50882.0,4,3,3,433,10
120.0,20,77,135114.0,3,2,2,322,7
121.0,82,13,162800.0,4,4,2,442,10
122.0,22,21,41174.0,3,3,3,333,9
123.0,19,55,540722.0,2,2,1,221,5
124.0,19,159,270830.0,2,1,1,211,4
125.0,11,142,335427.0,2,1,1,211,4
127.0,9,11,42741.0,1,4,3,143,8
129.0,234,23,8398.0,4,3,4,434,11
130.0,135,21,131175.0,4,3,2,432,9
131.0,9,69,53515.0,1,2,3,123,6
132.0,170,6,17688.0,4,4,4,444,12
133.0,145,31,100745.0,4,3,2,432,9
134.0,10,34,18915.0,1,3,4,134,8
135.0,93,35,76730.0,4,3,3,433,10
136.0,268,51,125408.0,4,2,2,422,8
137.0,354,15,35685.0,4,4,4,444,12
138.0,82,24,160118.0,4,3,2,432,9
139.0,9,283,297430.0,1,1,1,111,3
140.0,1,119,253627.0,1,1,1,111,3
141.0,40,17,35580.0,3,4,4,344,11
142.0,17,150,306391.0,2,1,1,211,4
143.0,143,37,68427.0,4,3,3,433,10
144.0,52,10,29723.0,3,4,4,344,11
145.0,2,106,207780.0,1,1,1,111,3
146.0,10,136,593226.0,1,1,1,111,3
147.0,1,68,151615.0,1,2,2,122,5
148.0,86,17,46012.0,4,4,3,443,11
149.0,10,89,203457.0,1,2,2,122,5
150.0,10,64,186878.0,1,2,2,122,5
151.0,20,17,14983.0,3,4,4,344,11
152.0,9,15,38806.0,1,4,3,143,8
153.0,42,62,131589.0,3,2,2,322,7
154.0,11,34,85411.0,2,3,2,232,7
155.0,8,268,557829.0,1,1,1,111,3
156.0,9,21,45271.0,1,3,3,133,7
157.0,19,273,662579.0,2,1,1,211,4
158.0,9,464,1491137.0,1,1,1,111,3
159.0,9,49,119829.0,1,2,2,122,5
160.0,9,19,34946.0,1,3,4,134,8
161.0,81,48,109849.0,4,2,2,422,8
162.0,50,68,132026.0,3,2,2,322,7
163.0,17,6,21996.0,2,4,4,244,10
164.0,173,4,8088.0,4,4,4,444,12
165.0,81,56,111488.0,4,2,2,422,8
166.0,358,10,21970.0,4,4,4,444,12
167.0,70,19,38249.0,3,3,3,333,9
168.0,13,187,418819.0,2,1,1,211,4
169.0,13,121,78463.0,2,1,3,213,6
170.0,21,27,544128.0,3,3,1,331,7
171.0,2,22,476.0,1,3,4,134,8
172.0,48,21,63704.0,3,3,3,333,9
173.0,6,109,239055.0,1,1,1,111,3
174.0,48,16,29545.0,3,4,4,344,11
175.0,12,161,426744.0,2,1,1,211,4
176.0,264,20,46932.0,4,3,3,433,10
177.0,170,10,16711.0,4,4,4,444,12
178.0,87,19,43032.0,4,3,3,433,10
179.0,11,455,1030421.0,2,1,1,211,4
180.0,4,158,400772.0,1,1,1,111,3
181.0,12,34,80348.0,2,3,3,233,8
182.0,38,60,110307.0,3,2,2,322,7
183.0,198,28,19601.0,4,3,4,434,11
184.0,171,10,21914.0,4,4,4,444,12
185.0,9,89,179047.0,1,2,2,122,5
186.0,9,147,85632.0,1,1,2,112,4
187.0,22,118,300219.0,3,1,1,311,5
188.0,81,29,50682.0,4,3,3,433,10
189.0,16,23,48818.0,2,3,3,233,8
190.0,70,14,26300.0,3,4,4,344,11
191.0,200,20,49548.0,4,3,3,433,10
192.0,3,235,929097.0,1,1,1,111,3
193.0,6,125,197570.0,1,1,2,112,4
194.0,19,95,246143.0,2,2,1,221,5
195.0,20,12,19943.0,3,4,4,344,11
196.0,38,3,11840.0,3,4,4,344,11
197.0,70,9,19257.0,3,4,4,344,11
198.0,9,33,72872.0,1,3,3,133,7
199.0,75,69,1125862.0,4,2,1,421,7
200.0,232,25,48876.0,4,3,3,433,10
201.0,11,16,56894.0,2,4,3,243,9
202.0,12,20,49189.0,2,3,3,233,8
203.0,12,114,406263.0,2,1,1,211,4
204.0,16,25,73777.0,2,3,3,233,8
205.0,9,210,417374.0,1,1,1,111,3
206.0,15,128,376917.0,2,1,1,211,4
207.0,9,55,136620.0,1,2,2,122,5
208.0,9,54,266897.0,1,2,1,121,4
209.0,18,24,60719.0,2,3,3,233,8
210.0,60,12,22148.0,3,4,4,344,11
211.0,25,1,66584.0,3,4,3,343,10
212.0,81,15,32404.0,4,4,4,444,12
213.0,368,3,-968.0,4,4,4,444,12
214.0,10,202,-1884.0,1,1,4,114,6
215.0,14,57,128931.0,2,2,2,222,6
216.0,12,107,219123.0,2,1,1,211,4
217.0,53,65,163374.0,3,2,2,322,7
218.0,59,20,72347.0,3,3,3,333,9
219.0,32,159,376098.0,3,1,1,311,5
220.0,17,20,35371.0,2,3,4,234,9
221.0,3,101,273666.0,1,2,1,121,4
222.0,11,34,70292.0,2,3,3,233,8
223.0,9,42,45614.0,1,3,3,133,7
224.0,22,10,17462.0,3,4,4,344,11
225.0,20,86,459860.0,3,2,1,321,6
226.0,20,91,192194.0,3,2,2,322,7
227.0,2,456,1575067.0,1,1,1,111,3
228.0,234,10,19714.0,4,4,4,444,12
229.0,47,17,34377.0,3,4,4,344,11
230.0,111,36,74810.0,4,3,3,433,10
231.0,79,88,304722.0,4,2,1,421,7
232.0,10,298,736038.0,1,1,1,111,3
233.0,10,224,547037.0,1,1,1,111,3
234.0,5,40,92558.0,1,3,2,132,6
235.0,50,62,133115.0,3,2,2,322,7
236.0,58,30,59362.0,3,3,3,333,9
237.0,42,99,253139.0,3,2,1,321,6
238.0,11,99,207962.0,2,2,1,221,5
239.0,10,390,743599.0,1,1,1,111,3
240.0,9,38,83074.0,1,3,3,133,7
241.0,239,21,45669.0,4,3,3,433,10
242.0,25,50,111655.0,3,2,2,322,7
243.0,116,9,17803.0,4,4,4,444,12
244.0,27,44,117382.0,3,2,2,322,7
245.0,12,17,291394.0,2,4,1,241,7
246.0,12,31,67129.0,2,3,3,233,8
247.0,9,70,209838.0,1,2,1,121,4
248.0,5,45,182772.0,1,2,2,122,5
249.0,11,116,388494.0,2,1,1,211,4
250.0,13,20,35705.0,2,3,4,234,9
251.0,15,31,77556.0,2,3,3,233,8
252.0,4,19,35984.0,1,3,4,134,8
253.0,19,9,16065.0,2,4,4,244,10
254.0,329,50,100783.0,4,2,2,422,8
255.0,149,43,266350.0,4,2,1,421,7
256.0,39,34,65543.0,3,3,3,333,9
257.0,20,125,444165.0,3,1,1,311,5
258.0,20,50,167004.0,3,2,2,322,7
259.0,20,35,77407.0,3,3,3,333,9
260.0,31,4,11160.0,3,4,4,344,11
261.0,20,12,30294.0,3,4,4,344,11
262.0,1,222,454691.0,1,1,1,111,3
263.0,36,28,511104.0,3,3,1,331,7
264.0,333,3,6115.0,4,4,4,444,12
266.0,59,32,70122.0,3,3,3,333,9
267.0,20,164,385430.0,3,1,1,311,5
268.0,151,98,200790.0,4,2,2,422,8
269.0,9,89,349024.0,1,2,1,121,4
270.0,331,10,26968.0,4,4,4,444,12
271.0,6,41,76200.0,1,3,3,133,7
272.0,11,87,239292.0,2,2,1,221,5
273.0,12,39,147640.0,2,3,2,232,7
274.0,14,158,2006852.0,2,1,1,211,4
275.0,47,52,116921.0,3,2,2,322,7
276.0,1,49,97967.0,1,2,2,122,5
277.0,9,623,1602166.0,1,1,1,111,3
278.0,4,496,1396584.0,1,1,1,111,3
279.0,5,349,971455.0,1,1,1,111,3
280.0,10,98,323115.0,1,2,1,121,4
281.0,9,151,329227.0,1,1,1,111,3
282.0,434,6,11570.0,4,4,4,444,12
283.0,114,171,631238.0,4,1,1,411,6
284.0,12,70,148131.0,2,2,2,222,6
285.0,206,15,39598.0,4,4,3,443,11
286.0,36,27,114558.0,3,3,2,332,8
287.0,73,37,80460.0,3,3,3,333,9
288.0,14,35,103693.0,2,3,2,232,7
289.0,38,27,69255.0,3,3,3,333,9
290.0,25,40,99498.0,3,3,2,332,8
291.0,8,264,614008.0,1,1,1,111,3
292.0,16,51,100749.0,2,2,2,222,6
293.0,20,11,23052.0,3,4,4,344,11
294.0,67,21,32750.0,3,3,4,334,10
295.0,9,81,235070.0,1,2,1,121,4
296.0,13,342,840450.0,2,1,1,211,4
297.0,292,33,72796.0,4,3,3,433,10
298.0,9,164,293643.0,1,1,1,111,3
299.0,8,251,1100565.0,1,1,1,111,3
300.0,11,76,144377.0,2,2,2,222,6
301.0,14,128,425558.0,2,1,1,211,4
302.0,1,37,106928.0,1,3,2,132,6
303.0,69,254,575673.0,3,1,1,311,5
304.0,111,20,37608.0,4,3,4,434,11
305.0,4,67,131467.0,1,2,2,122,5
306.0,16,53,110145.0,2,2,2,222,6
