,Recency,Frequency,Monetory,Cluster
0,4,182,553704.0,0
1,77,27,257404.0,6
2,20,72,176613.0,0
3,18,16,41976.0,0
4,9,84,151822.0,0
5,208,4,9410.0,6
6,234,58,135550.0,1
7,15,13,65832.0,0
8,16,58,331601.0,0
9,9,131,771439.0,0
10,2,17,105674.0,0
11,14,254,705406.0,2
12,53,126,281630.0,0
13,170,9,21630.0,6
14,4,264,578591.0,2
15,16,23,78378.0,0
16,8,81,205212.0,0
17,292,21,41055.0,1
18,6,10,23537.0,0
19,17,166,469518.0,0
20,10,62,182448.0,0
21,15,49,163883.0,0
22,48,13,42424.0,0
23,26,32,76012.0,0
24,4,16,47361.0,0
25,171,76,200342.0,6
26,12,219,518776.0,0
27,74,39,93618.0,6
28,14,101,295952.0,0
29,34,86,178765.0,0
30,14,95,235678.0,0
31,9,28,45460.0,0
32,141,10,57670.0,6
33,18,100,356353.0,0
34,81,31,68598.0,6
35,22,100,60518.0,0
36,16,64,201327.0,0
37,15,25,148768.0,0
38,9,147,384183.0,0
39,9,124,287355.0,0
40,50,84,215492.0,0
41,15,55,158398.0,0
42,48,4,7278.0,0
43,324,10,25584.0,1
44,52,4,42252.0,0
45,149,53,178467.0,6
46,14,108,415792.0,0
47,13,72,222570.0,0
48,9,108,329075.0,0
49,14,114,1383334.0,2
50,18,27,59636.0,0
51,81,58,157322.0,6
52,10,37,80491.0,0
53,15,15,57781.0,0
54,10,757,14357682.0,5
55,4,189,384550.0,0
56,113,34,86360.0,6
57,10,29,80913.0,0
58,22,41,87913.0,0
59,11,38,91062.0,0
60,3,118,227879.0,0
61,74,30,200188.0,6
62,81,36,97807.0,6
63,136,29,62672.0,6
64,10,31,95512.0,0
65,12,292,800248.0,2
66,69,94,407444.0,0
67,50,10,27584.0,0
68,9,238,784562.0,2
69,50,107,526849.0,0
70,1,420,1870543.0,2
71,85,54,94388.0,6
72,81,36,896714.0,6
73,102,15,52453.0,6
74,3,185,560583.0,0
75,20,96,304853.0,0
76,367,10,21144.0,1
77,4,11,21598.0,0
78,12,173,465037.0,0
79,25,3,9948.0,0
80,58,57,117966.0,0
81,16,25,53855.0,0
82,50,21,48432.0,0
83,11,187,435921.0,0
84,74,8,26814.0,6
85,10,353,1230748.0,2
86,20,20,41312.0,0
87,142,43,95624.0,6
88,54,17,372796.0,0
89,13,85,335450.0,0
90,50,126,327927.0,0
91,12,63,243774.0,0
92,78,36,108842.0,6
93,13,34,76450.0,0
94,3,70,117356.0,0
95,54,83,160470.0,0
96,25,22,99624.0,0
97,20,49,87593.0,0
98,14,38,85253.0,0
99,3,506,1966954.0,2
100,9,384,779735.0,2
101,44,168,384317.0,0
102,10,441,887812.0,2
103,54,35,95322.0,0
104,2,255,694331.0,2
105,10,308,1486990.0,2
106,4,35,68029.0,0
107,5,34,57316.0,0
108,9,150,375459.0,0
109,10,210,672616.0,0
110,14,72,244819.0,0
111,9,346,503434.0,2
112,69,54,155349.0,0
113,49,14,35243.0,0
114,6,235,631870.0,2
115,39,25,57912.0,0
116,10,18,32436.0,0
117,75,22,50882.0,6
118,20,77,135114.0,0
119,82,13,162800.0,6
120,22,21,41174.0,0
121,19,55,540722.0,0
122,19,159,270830.0,0
123,11,142,335427.0,0
124,9,11,42741.0,0
125,234,23,8398.0,1
126,135,21,131175.0,6
127,9,69,53515.0,0
128,170,6,17688.0,6
129,145,31,100745.0,6
130,10,34,18915.0,0
131,93,35,76730.0,6
132,268,51,125408.0,1
133,354,15,35685.0,1
134,82,24,160118.0,6
135,9,283,297430.0,0
136,1,119,253627.0,0
137,40,17,35580.0,0
138,17,150,306391.0,0
139,143,37,68427.0,6
140,52,10,29723.0,0
141,2,106,207780.0,0
142,10,136,593226.0,0
143,1,68,151615.0,0
144,86,17,46012.0,6
145,10,89,203457.0,0
146,10,64,186878.0,0
147,20,17,14983.0,0
148,9,15,38806.0,0
149,42,62,131589.0,0
150,11,34,85411.0,0
151,8,268,557829.0,2
152,9,21,45271.0,0
153,19,273,662579.0,2
154,9,464,1491137.0,2
155,9,49,119829.0,0
156,9,19,34946.0,0
157,81,48,109849.0,6
158,50,68,132026.0,0
159,17,6,21996.0,0
160,173,4,8088.0,6
161,81,56,111488.0,6
162,358,10,21970.0,1
163,70,19,38249.0,0
164,13,187,418819.0,0
165,13,121,78463.0,0
166,21,27,544128.0,0
167,2,22,476.0,0
168,48,21,63704.0,0
169,6,109,239055.0,0
170,48,16,29545.0,0
171,12,161,426744.0,0
172,264,20,46932.0,1
173,170,10,16711.0,6
174,87,19,43032.0,6
175,11,455,1030421.0,2
176,4,158,400772.0,0
177,12,34,80348.0,0
178,38,60,110307.0,0
179,198,28,19601.0,6
180,171,10,21914.0,6
181,9,89,179047.0,0
182,9,147,85632.0,0
183,22,118,300219.0,0
184,81,29,50682.0,6
185,16,23,48818.0,0
186,70,14,26300.0,0
187,200,20,49548.0,6
188,3,235,929097.0,2
189,6,125,197570.0,0
190,19,95,246143.0,0
191,20,12,19943.0,0
192,38,3,11840.0,0
193,70,9,19257.0,6
194,9,33,72872.0,0
195,75,69,1125862.0,0
196,232,25,48876.0,1
197,11,16,56894.0,0
198,12,20,49189.0,0
199,12,114,406263.0,0
200,16,25,73777.0,0
201,9,210,417374.0,0
202,15,128,376917.0,0
203,9,55,136620.0,0
204,9,54,266897.0,0
205,18,24,60719.0,0
206,60,12,22148.0,0
207,25,1,66584.0,0
208,81,15,32404.0,6
209,368,3,-968.0,1
210,10,202,-1884.0,0
211,14,57,128931.0,0
212,12,107,219123.0,0
213,53,65,163374.0,0
214,59,20,72347.0,0
215,32,159,376098.0,0
216,17,20,35371.0,0
217,3,101,273666.0,0
218,11,34,70292.0,0
219,9,42,45614.0,0
220,22,10,17462.0,0
221,20,86,459860.0,0
222,20,91,192194.0,0
223,2,456,1575067.0,2
224,234,10,19714.0,1
225,47,17,34377.0,0
226,111,36,74810.0,6
227,79,88,304722.0,6
228,10,298,736038.0,2
229,10,224,547037.0,0
230,5,40,92558.0,0
231,50,62,133115.0,0
232,58,30,59362.0,0
233,42,99,253139.0,0
234,11,99,207962.0,0
235,10,390,743599.0,2
236,9,38,83074.0,0
237,239,21,45669.0,1
238,25,50,111655.0,0
239,116,9,17803.0,6
240,27,44,117382.0,0
241,12,17,291394.0,0
242,12,31,67129.0,0
243,9,70,209838.0,0
244,5,45,182772.0,0
245,11,116,388494.0,0
246,13,20,35705.0,0
247,15,31,77556.0,0
248,4,19,35984.0,0
249,19,9,16065.0,0
250,329,50,100783.0,1
251,149,43,266350.0,6
252,39,34,65543.0,0
253,20,125,444165.0,0
254,20,50,167004.0,0
255,20,35,77407.0,0
256,31,4,11160.0,0
257,20,12,30294.0,0
258,1,222,454691.0,0
259,36,28,511104.0,0
260,333,3,6115.0,1
261,59,32,70122.0,0
262,20,164,385430.0,0
263,151,98,200790.0,6
264,9,89,349024.0,0
265,331,10,26968.0,1
266,6,41,76200.0,0
267,11,87,239292.0,0
268,12,39,147640.0,0
269,14,158,2006852.0,2
270,47,52,116921.0,0
271,1,49,97967.0,0
272,9,623,1602166.0,2
273,4,496,1396584.0,2
274,5,349,971455.0,2
275,10,98,323115.0,0
276,9,151,329227.0,0
277,434,6,11570.0,1
278,114,171,631238.0,6
279,12,70,148131.0,0
280,206,15,39598.0,6
281,36,27,114558.0,0
282,73,37,80460.0,6
283,14,35,103693.0,0
284,38,27,69255.0,0
285,25,40,99498.0,0
286,8,264,614008.0,2
287,16,51,100749.0,0
288,20,11,23052.0,0
289,67,21,32750.0,0
290,9,81,235070.0,0
291,13,342,840450.0,2
292,292,33,72796.0,1
293,9,164,293643.0,0
294,8,251,1100565.0,2
295,11,76,144377.0,0
296,14,128,425558.0,0
297,1,37,106928.0,0
298,69,254,575673.0,2
299,111,20,37608.0,6
300,4,67,131467.0,0
301,16,53,110145.0,0
302,81,18,32715.0,6
303,6,40,72584.0,0
304,3,346,741462.0,2
